108,Saúl Tafoya Meraz,Spain,male,1992-05-15,2017-03-13
109,Zohar Malave Ornelas,Spain,male,1979-10-22,2018-07-22
110,Ann Guajardo Méndez,Spain,female,1998-07-17,2017-10-31
111,Quirina Alcaraz Sánchez,Spain,female,1980-11-05,2017-06-17
112,Exaltación Herrera Ceja,Spain,female,1979-11-20,2017-10-15
113,Lucy Centeno Barrios,Spain,female,1970-11-03,2017-06-13
114,Canela Gaona Lozano,Spain,female,1997-04-01,2017-02-14
115,Merlin Rolón Badillo,Spain,female,1977-10-14,2019-02-21
116,Maciela Casillas Peralta,Spain,female,1991-03-30,2017-12-10
117,Moira Jurado Paez,Spain,female,1996-01-30,2018-11-09
118,Digna Mateo Carrasquill,Spain,female,1978-11-01,2017-11-24
119,Lisa Ibarra Valadez,Spain,female,1998-12-08,2019-03-06
120,Robin J. Himes,USA,male,1988-11-30,2018-08-06
121,Annie R. Barnett,USA,female,1987-03-02,2017-09-13
122,Thelma B. Coward,USA,female,1971-04-15,2018-11-27
123,Andrew J. Ramos,USA,male,1994-03-11,2018-12-30
